UTC	Local	fline_area_km2	fperim_area_km2	nfp_area_km2	fline	fperim	nfp	u_mean	v_mean	ws_mean	wd_mean	d2m	lh	lw	m1	m10	m100	sp	t2m	tp	230evt	230fbfm13	230fbfm40	240roads_23	adj	asp2020	cbd	cbh	cc	ch	elev2020	slpd2020	mean_rh	vpd
2021-08-15 19:00:00	2021-08-15 11:00:00							0.033528	-0.265901	0.268007	352.813446	5.063135	39.963509	66.340416	4.460841	6.136745	6.589003	84821.500000	32.541071	0.105740													17.873217	4.025936
2021-08-15 19:30:00	2021-08-15 11:30:00																																	
2021-08-15 20:00:00	2021-08-15 12:00:00							1.434042	-0.514964	1.523701	289.753206	5.023950	39.963509	66.340416	4.249216	5.947237	6.564018	84788.265625	32.872064	0.105769													17.495832	4.120393
2021-08-15 20:30:00	2021-08-15 12:30:00																																	
2021-08-15 21:00:00	2021-08-15 13:00:00							2.325262	0.055427	2.325922	268.634502	5.165948	39.963509	66.340416	4.168089	5.779296	6.539761	84737.742188	33.541071	0.119280													17.020162	4.302369
2021-08-15 21:30:00	2021-08-15 13:30:00	1.800000	3.960000	0.900000	20.000000	44.000000	10.000000																											
2021-08-15 22:00:00	2021-08-15 14:00:00							3.060954	-0.752834	3.152173	283.817495	5.605005	39.963509	66.340416	4.220710	5.643341	6.517567	84707.164062	33.585992	0.162886													17.504189	4.288019
2021-08-15 22:30:00	2021-08-15 14:30:00																																	
2021-08-15 23:00:00	2021-08-15 15:00:00							2.964586	-0.503827	3.007094	279.645171	6.290491	39.963509	66.340416	4.332753	5.535141	6.497270	84658.179688	32.953241	0.176619													19.017118	4.062887
2021-08-15 23:30:00	2021-08-15 15:30:00																																	
2021-08-16 00:00:00	2021-08-15 16:00:00							2.893789	-1.278934	3.163809	293.843422	6.817926	38.795254	65.596977	4.589220	5.472900	6.481097	84651.125000	32.170679	0.178345													20.608982	3.811426
2021-08-16 00:30:00	2021-08-15 16:30:00																																	
2021-08-16 01:00:00	2021-08-15 17:00:00							2.256027	-0.860864	2.414694	290.886061	8.194238	38.795254	65.596977	4.876332	5.444965	6.468194	84628.726562	30.727228	0.004541													24.575424	3.336251
2021-08-16 01:30:00	2021-08-15 17:30:00																																	
2021-08-16 02:00:00	2021-08-15 18:00:00							1.031749	-0.524454	1.157393	296.944929	9.950983	38.795254	65.596977	5.382828	5.485084	6.462526	84612.078125	28.995416	0.004541													30.563100	2.780682
2021-08-16 02:30:00	2021-08-15 18:30:00																																	
2021-08-16 03:00:00	2021-08-15 19:00:00							0.677417	-0.732662	0.997841	317.243649	10.994775	38.795254	65.596977	6.170024	5.617990	6.467371	84610.234375	26.961206	0.004541													36.889854	2.244975
2021-08-16 03:30:00	2021-08-15 19:30:00																																	
2021-08-16 04:00:00	2021-08-15 20:00:00							-0.595716	-0.809540	1.005103	36.348244	12.097375	38.795254	65.596977	6.856653	5.791804	6.477907	84618.148438	25.641260	0.004541													42.895052	1.879216
2021-08-16 04:30:00	2021-08-15 20:30:00																																	
2021-08-16 05:00:00	2021-08-15 21:00:00							-1.026165	-0.966958	1.409973	46.701523	12.041620	38.795254	65.596977	7.262033	5.961132	6.489555	84612.375000	24.116235	0.004543													46.805719	1.598381
2021-08-16 05:30:00	2021-08-15 21:30:00																																	
2021-08-16 06:00:00	2021-08-15 22:00:00							-1.701031	-1.582200	2.323115	47.072815	12.140741	38.795254	65.596977	7.477420	6.117465	6.501338	84600.695312	22.651727	0.004543													51.462640	1.335165
2021-08-16 06:30:00	2021-08-15 22:30:00																																	
2021-08-16 07:00:00	2021-08-15 23:00:00							-1.372548	-0.968642	1.679927	54.788376	9.767023	38.795254	65.596977	7.565001	6.256052	6.512611	84545.992188	22.013055	0.004543													45.688077	1.437113
2021-08-16 07:30:00	2021-08-15 23:30:00																																	
2021-08-16 08:00:00	2021-08-16 00:00:00							-1.284837	-0.239231	1.306919	79.452560	10.058496	38.795254	65.596977	7.476628	6.358264	6.521186	84516.273438	21.074243	0.004543													49.343553	1.265585
2021-08-16 08:30:00	2021-08-16 00:30:00																																	
2021-08-16 09:00:00	2021-08-16 01:00:00							-1.880064	-0.529386	1.953175	74.273911	10.247827	38.795254	65.596977	7.395453	6.444570	6.528953	84476.679688	20.292902	0.004543													52.435820	1.132510
